,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 01:01:00,60.0,56.0,58.0,52.0,50.0,47.0,46.0,55.0
2023-05-01 01:02:00,61.5,56.0,56.0,52.0,50.0,47.0,46.0,52.7
2023-05-01 01:03:00,60.5,56.0,54.0,52.0,50.0,46.0,46.0,53.0
2023-05-01 01:04:00,61.0,56.0,56.3,52.0,50.0,45.0,46.0,52.0
2023-05-01 01:05:00,60.5,56.0,55.0,54.0,50.0,46.0,46.0,52.3
2023-05-01 01:06:00,60.5,56.0,57.0,54.0,50.0,45.0,46.0,52.7
2023-05-01 01:07:00,60.5,56.0,57.0,54.0,50.0,46.0,46.0,51.7
2023-05-01 01:08:00,61.0,56.0,57.0,54.0,50.0,46.0,46.0,51.7
2023-05-01 01:09:00,60.0,56.0,57.0,54.0,50.0,45.0,46.0,52.7
2023-05-01 01:10:00,60.0,56.0,57.0,54.0,50.0,46.0,46.0,52.0
2023-05-01 01:11:00,60.0,56.0,57.0,54.0,50.0,46.0,46.0,51.0
2023-05-01 01:12:00,60.0,56.0,56.5,53.0,50.0,45.0,46.0,53.5
2023-05-01 01:13:00,60.0,56.0,56.5,54.0,50.0,46.0,46.0,51.0
2023-05-01 01:14:00,60.0,56.0,56.5,55.0,50.0,46.0,46.0,50.0
2023-05-01 01:15:00,61.0,55.0,56.5,51.0,50.0,46.0,46.0,52.0
2023-05-01 01:16:00,60.0,56.0,56.5,56.0,50.0,46.0,46.0,53.0
2023-05-01 01:17:00,60.5,55.0,56.5,53.0,50.0,46.0,46.0,53.0
2023-05-01 01:18:00,61.0,58.0,55.0,54.0,50.0,49.0,46.0,54.0
2023-05-01 01:19:00,60.5,54.0,61.0,55.0,50.0,48.0,46.0,54.0
2023-05-01 01:20:00,61.0,55.0,54.5,52.5,50.0,48.0,46.0,51.0
2023-05-01 01:21:00,62.0,55.0,53.5,53.0,50.0,47.0,46.0,56.0
2023-05-01 01:22:00,61.0,55.0,55.0,54.0,50.0,46.0,46.0,58.0
2023-05-01 01:23:00,61.0,55.0,52.5,53.5,50.0,46.0,46.0,58.0
2023-05-01 01:24:00,61.0,55.0,55.5,55.5,50.0,46.0,46.0,58.0
2023-05-01 01:25:00,60.0,55.0,57.0,57.0,50.0,47.0,46.0,58.0
2023-05-01 01:26:00,60.0,55.0,61.0,56.0,50.0,46.0,46.0,58.0
2023-05-01 01:27:00,61.0,55.0,55.0,57.0,50.0,46.0,46.0,54.0
2023-05-01 01:28:00,61.0,55.0,55.0,54.0,50.0,46.0,46.0,54.0
2023-05-01 01:29:00,60.5,55.0,52.5,55.0,50.0,46.0,46.0,54.0
2023-05-01 01:30:00,60.0,55.0,53.0,54.0,50.0,46.0,46.0,54.0
2023-05-01 01:31:00,60.5,55.0,54.5,51.0,50.0,46.0,45.0,61.0
2023-05-01 01:32:00,60.0,55.0,57.5,53.0,49.0,46.0,45.0,57.5
2023-05-01 01:33:00,61.0,55.0,56.5,54.0,49.0,46.0,44.0,55.3
2023-05-01 01:34:00,61.0,55.0,55.0,54.0,49.0,46.0,46.0,53.7
2023-05-01 01:35:00,60.5,55.0,57.0,52.0,49.0,56.0,44.0,51.3
2023-05-01 01:36:00,60.5,52.0,48.0,52.0,49.0,56.0,44.0,52.7
2023-05-01 01:37:00,60.0,52.0,48.0,56.5,49.0,56.0,45.0,52.7
2023-05-01 01:38:00,60.0,52.0,54.0,54.5,49.0,56.0,45.0,50.7
2023-05-01 01:39:00,61.0,52.0,53.0,56.5,49.0,56.0,45.5,57.3
2023-05-01 01:40:00,61.0,52.0,52.0,59.5,49.0,51.0,45.0,54.0
2023-05-01 01:41:00,60.5,52.0,54.0,57.5,49.0,48.5,45.0,52.5
2023-05-01 01:42:00,60.5,52.0,55.0,56.0,49.0,50.0,46.0,50.0
2023-05-01 01:43:00,60.0,52.0,50.0,56.0,49.0,46.5,45.0,52.0
2023-05-01 01:44:00,60.0,52.0,48.0,57.5,49.0,48.0,45.0,54.0
