,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 01:01:00,61.0,52.6,57.0,54.0,48.8,47.6,44.0,55.0
2023-05-01 01:02:00,61.0,52.0,54.5,54.0,48.3,46.2,44.5,53.0
2023-05-01 01:03:00,61.0,53.7,54.0,54.5,48.6,47.0,44.0,53.5
2023-05-01 01:04:00,61.0,55.7,59.0,55.0,48.6,46.3,44.3,52.0
2023-05-01 01:05:00,62.5,53.0,54.5,54.3,49.4,47.2,44.3,46.0
2023-05-01 01:06:00,62.5,53.7,57.3,56.0,48.4,48.3,44.7,49.0
2023-05-01 01:07:00,62.5,56.7,56.0,54.8,49.0,47.0,44.7,50.5
2023-05-01 01:08:00,62.5,52.0,53.5,55.0,49.4,47.5,45.5,49.8
2023-05-01 01:09:00,63.0,52.7,54.0,52.8,48.3,46.2,44.7,50.0
2023-05-01 01:10:00,63.0,54.0,52.0,51.5,48.7,47.0,44.3,51.2
2023-05-01 01:11:00,63.5,49.0,55.0,55.7,48.2,46.2,44.7,51.8
2023-05-01 01:12:00,63.5,54.0,57.5,59.3,48.5,46.5,44.3,48.2
2023-05-01 01:13:00,63.5,50.3,56.0,52.7,50.0,46.0,45.0,49.2
2023-05-01 01:14:00,63.0,50.3,55.2,54.5,49.6,46.0,44.5,50.4
2023-05-01 01:15:00,66.0,50.7,56.0,54.6,49.5,46.5,45.7,50.0
2023-05-01 01:16:00,61.5,51.0,55.5,53.4,48.8,46.5,45.3,51.4
2023-05-01 01:17:00,62.5,52.2,54.8,53.5,50.0,46.5,44.5,51.6
2023-05-01 01:18:00,62.0,52.8,53.0,56.0,49.0,46.5,44.2,50.7
2023-05-01 01:19:00,61.5,51.8,56.7,54.0,50.7,46.0,45.2,50.0
2023-05-01 01:20:00,61.0,51.2,55.3,54.8,49.0,46.0,44.8,53.0
2023-05-01 01:21:00,61.0,51.4,57.3,55.6,51.0,46.0,44.8,52.3
2023-05-01 01:22:00,61.0,53.2,55.5,53.7,49.0,47.0,44.8,50.6
2023-05-01 01:23:00,63.5,54.0,58.7,54.2,50.0,46.7,45.0,49.8
2023-05-01 01:24:00,61.3,52.8,59.0,53.5,48.2,46.7,45.3,50.6
2023-05-01 01:25:00,62.0,52.0,55.3,54.3,48.2,46.7,44.3,51.6
2023-05-01 01:26:00,63.0,53.0,53.3,55.0,48.4,45.7,46.3,50.8
2023-05-01 01:27:00,63.0,54.3,54.3,55.7,48.6,46.5,45.7,51.5
2023-05-01 01:28:00,61.0,58.0,57.3,53.5,48.6,47.3,44.0,49.8
2023-05-01 01:29:00,63.0,55.5,55.2,54.3,48.0,46.5,46.0,54.0
2023-05-01 01:30:00,63.0,54.5,55.8,54.7,48.6,46.5,45.5,53.3
2023-05-01 01:31:00,62.0,54.0,54.3,54.0,47.8,46.4,46.5,51.3
2023-05-01 01:32:00,63.5,56.5,50.0,51.8,47.2,46.0,45.7,51.7
2023-05-01 01:33:00,62.5,54.5,54.5,52.5,52.0,46.3,44.7,50.7
2023-05-01 01:34:00,63.5,54.5,52.5,51.8,47.5,46.3,45.0,49.3
2023-05-01 01:35:00,61.7,53.0,49.0,52.4,48.2,46.7,45.0,51.3
2023-05-01 01:36:00,60.2,52.0,53.0,51.2,50.2,46.3,44.5,51.5
2023-05-01 01:37:00,61.0,51.5,51.0,51.8,48.8,46.5,44.5,50.5
2023-05-01 01:38:00,60.6,52.5,56.0,53.0,48.2,46.0,44.0,50.5
2023-05-01 01:39:00,60.4,51.7,53.0,53.4,48.8,46.5,44.0,50.5
2023-05-01 01:40:00,60.7,50.7,56.0,54.0,49.2,46.5,44.5,53.5
2023-05-01 01:41:00,60.7,52.0,58.0,52.8,49.0,46.5,44.0,53.0
2023-05-01 01:42:00,60.0,49.5,55.0,53.2,48.5,46.5,44.5,49.2
2023-05-01 01:43:00,59.4,49.0,51.0,52.5,47.8,46.5,44.5,51.0
2023-05-01 01:44:00,59.5,49.0,54.0,53.8,47.0,46.0,44.5,53.0
2023-05-01 01:45:00,59.0,54.0,54.0,54.2,48.5,46.0,44.5,50.2
2023-05-01 01:46:00,61.0,51.0,52.0,53.0,48.2,46.0,45.0,50.0
2023-05-01 01:47:00,61.5,52.0,55.0,53.2,47.0,46.0,44.0,51.0
2023-05-01 01:48:00,61.5,50.5,53.0,54.0,47.0,46.0,44.0,49.0
2023-05-01 01:49:00,63.0,48.5,47.0,53.5,47.7,46.0,44.0,52.0
2023-05-01 01:50:00,63.0,50.0,56.0,53.0,48.7,46.0,44.0,51.5
2023-05-01 01:51:00,63.0,51.4,56.0,52.0,47.0,46.0,45.0,51.8
2023-05-01 01:52:00,63.0,52.2,54.0,52.0,46.3,46.0,45.0,50.8
2023-05-01 01:53:00,63.0,53.0,54.0,51.5,48.5,47.0,45.0,49.2
2023-05-01 01:54:00,62.0,53.0,54.0,50.8,47.5,46.0,45.0,52.2
2023-05-01 01:55:00,62.0,52.0,53.7,51.0,48.2,47.0,44.5,48.7
2023-05-01 01:56:00,60.0,51.2,56.0,52.8,48.6,47.0,44.5,49.0
2023-05-01 01:57:00,60.0,52.7,56.5,52.2,49.0,46.0,44.5,49.7
2023-05-01 01:58:00,60.5,51.3,53.7,51.7,50.0,47.0,45.5,49.0
2023-05-01 01:59:00,61.0,50.8,52.3,51.2,48.8,46.0,44.5,54.3
2023-05-01 02:00:00,61.0,52.0,53.0,53.3,48.6,47.0,45.5,49.7
2023-05-01 02:01:00,58.7,49.8,53.0,51.0,48.8,46.0,45.0,50.2
