edges,edges,name,ddB,edB,ndB
"(11784048, 10580752, 0)","(11784048, 10580752, 0)",,56.455747863247865,54.24384615384616,50.87858974358975
"(61899899, 312958746, 0)","(61899899, 312958746, 0)",,52.1048076923077,48.5164423076923,46.144182692307695
"(61896513, 61908709, 0)","(61896513, 61908709, 0)",,59.34542735042734,56.110384615384625,50.991474358974365
"(61899904, 61908688, 0)","(61899904, 61908688, 0)",,52.06192307692308,49.9701282051282,47.2414423076923
"(401316643, 4480845850, 0)","(401316643, 4480845850, 0)",Maakri,61.45400641025641,59.26378205128205,53.18182692307692
"(61914138, 61913212, 0)","(61914138, 61913212, 0)",Villardi,52.91272435897436,50.130897435897445,47.14580128205128
"(905936307, 905936561, 0)","(905936307, 905936561, 0)",Tartu mnt,64.1710576923077,61.283076923076926,53.82192307692308
"(906832727, 278373291, 0)","(906832727, 278373291, 0)",,61.152681623931635,59.00310897435898,53.42915064102564
"(1462644424, 29271433, 0)","(1462644424, 29271433, 0)",Kentmanni,51.67451923076923,49.78070512820513,48.133157051282055
"(57665671, 57665673, 0)","(57665671, 57665673, 0)",,60.034615384615385,56.95378205128205,54.10227564102564
"(277366364, 278373226, 0)","(277366364, 278373226, 0)",,60.10395299145299,56.777307692307694,52.15842948717949
"(10580823, 10580822, 0)","(10580823, 10580822, 0)",Kauka,56.538162393162395,52.57203525641026,49.067355769230765
"(10580764, 10580813, 0)","(10580764, 10580813, 0)",,58.670138888888886,55.744006410256404,51.642355769230775
"(10581142, 5928600834, 0)","(10581142, 5928600834, 0)",,58.18013888888888,55.413092948717946,50.755620993589744
"(5911959014, 2199955501, 0)","(5911959014, 2199955501, 0)",Sakala,57.3765811965812,54.46426282051282,51.71612179487179
"(57665673, 57665677, 0)","(57665673, 57665677, 0)",,55.581367521367525,53.04346153846154,50.081947115384615
"(312955816, 678555066, 0)","(312955816, 678555066, 0)",,60.61728632478633,56.954166666666666,51.87060897435898
"(8047407213, 59871426, 0)","(8047407213, 59871426, 0)",,55.84684294871795,53.562964743589745,50.599783653846146
"(5928600834, 5106747441, 0)","(5928600834, 5106747441, 0)",Kaubamaja,58.249647435897444,56.04666666666666,52.294198717948724
"(390179837, 312958796, 0)","(390179837, 312958796, 0)",Toom-Kuninga,51.90931623931623,49.2648076923077,46.506891025641025
"(1462644592, 11786690, 0)","(1462644592, 11786690, 0)",Rävala pst,55.73341880341881,53.58160256410255,50.06440705128205
"(11792428, 11792615, 0)","(11792428, 11792615, 0)",,63.15689636752137,59.485464743589745,53.02372596153846
"(61908706, 61912346, 0)","(61908706, 61912346, 0)",Koidu,63.061463675213666,59.21951923076924,54.214326923076925
"(278373188, 312961343, 0)","(278373188, 312961343, 0)",Hariduse,56.87095085470085,54.274839743589745,49.59078525641026
"(1462644387, 10580820, 0)","(1462644387, 10580820, 0)",,56.51794871794872,52.20221153846153,49.031602564102556
"(31923147, 905936529, 0)","(31923147, 905936529, 0)",,57.14665954415955,54.012596153846154,51.74827991452992
"(2169511177, 61896513, 0)","(2169511177, 61896513, 0)",,56.05791666666667,53.730240384615385,49.29474358974359
"(10580752, 10580754, 0)","(10580752, 10580754, 0)",,62.617200854700855,60.00137820512821,55.17538461538461
"(10580822, 602785007, 0)","(10580822, 602785007, 0)",Lembitu,56.538162393162395,52.57203525641026,49.067355769230765
"(61899901, 607606367, 0)","(61899901, 607606367, 0)",Ao,55.20702991452991,51.53891025641026,48.6176923076923
"(10580820, 11786689, 0)","(10580820, 11786689, 0)",,55.77188034188035,52.51185897435897,48.90179487179486
"(4912780099, 82515907, 0)","(4912780099, 82515907, 0)",Nõmme tee,56.4525,54.27057692307692,46.835833333333326
"(401316645, 10580823, 0)","(401316645, 10580823, 0)",,62.242435897435904,59.10141025641025,51.90679487179487
"(1479175872, 27503573, 0)","(1479175872, 27503573, 0)",,58.66970085470086,54.749407051282056,51.76880608974359
"(905992458, 905992401, 0)","(905992458, 905992401, 0)",Liivalaia,58.74792735042735,55.79030448717948,50.84489583333333
"(312961340, 57665677, 0)","(312961340, 57665677, 0)",Roosikrantsi,54.70305555555555,52.784743589743584,49.303357371794874
